UDI,Type,Air.temperature,Process.temperature,Rotational.speed,Torque,Tool.wear,Machine.failure
1,2,298.1,-0.947312518538733,0.0681817309991773,0.282185645683561,-1.69589894302139,0
2,1,298.2,-0.87991500306174,-0.729435030663008,0.633276353727906,-1.64876925613508,0
3,1,298.1,-1.01471003401576,-0.227438467379115,0.944242409424326,-1.61734946487754,0
4,1,298.2,-0.947312518538733,-0.589991540861927,-0.0488427361868208,-1.58592967361999,0
5,1,298.2,-0.87991500306174,-0.729435030663008,0.00131307924808568,-1.55450988236245,0
6,2,298.1,-0.947312518538733,-0.634613457598273,0.19190517790073,-1.52309009110491,0
7,1,298.1,-0.947312518538733,0.10722590814348,0.242060993335636,-1.4759604042186,0
8,1,298.1,-0.947312518538733,-0.0656840192098608,0.0213754054220485,-1.44454061296106,0
9,2,298.3,-0.87991500306174,0.715199523676195,-1.14223951266778,-1.41312082170352,0
10,2,298.5,-0.677722456630684,1.1279522534874,-1.20242649118967,-1.36599113481721,0
11,3,298.4,-0.745119972107716,1.35663957676117,-1.6137041777559,-1.3188614479309,0
12,3,298.6,-0.610324941153653,-0.645768936782359,0.432653091988281,-1.24031196978705,0
13,2,298.6,-0.610324941153653,-1.11429906251399,1.11477218190301,-1.1617624916432,0
14,2,298.6,-0.54292742567666,1.13352999307944,-1.00180322945004,-1.11463280475688,0
15,1,298.6,-0.54292742567666,2.76780769354811,-2.0450441904961,-1.06750311787057,0
16,1,298.6,-0.54292742567666,0.017982074670788,0.843930778554514,-1.03608332661303,0
17,2,298.6,-0.54292742567666,-1.2704757710912,0.663369842988851,-1.00466353535549,0
18,2,298.7,-0.54292742567666,-0.718279551478922,0.563058212119038,-0.957533848469181,0
19,3,298.8,-0.54292742567666,-1.29836446905142,1.45583172686037,-0.91040416158287,0
20,2,298.9,-0.475529910199629,0.519978637954681,-0.751024152275511,-0.831854683439018,0
21,3,298.9,-0.475529910199629,-0.913500437200436,0.272154482596581,-0.784724996552707,0
22,1,298.8,-0.475529910199629,-0.495169967797192,0.482808907423187,-0.706175518408856,0
23,2,298.9,-0.475529910199629,0.235513918760475,-0.931585087841174,-0.674755727151315,0
24,1,299,-0.408132394722636,1.22277382655213,-1.43314324219024,-0.627626040265004,0
25,2,299,-0.408132394722636,0.12395912691961,-0.269528324100409,-0.596206249007463,0
26,1,299,-0.340734879245604,1.79728100453259,-1.67389115627779,-0.549076562121152,0
27,1,299.1,-0.340734879245604,-0.14935011309051,-0.0989985516217272,-0.517656770863612,0
28,3,299.1,-0.408132394722636,1.51839402493042,-1.54348603614703,-0.486236979606071,0
29,1,299.1,-0.408132394722636,-0.556525103309667,0.4226219289013,-0.407687501462219,0
30,1,299,-0.408132394722636,0.86022075306932,-0.991772066363061,-0.376267710204678,0
31,2,299.1,-0.340734879245604,-1.11429906251399,0.823868452380551,-0.344847918947138,0
32,1,299,-0.408132394722636,1.44588341023386,-1.4532055683642,-0.297718232060827,0
33,1,299,-0.408132394722636,-0.668079895150533,0.833899615467532,-0.266298440803286,0
34,1,298.9,-0.475529910199629,0.704044044492108,-0.751024152275511,-0.234878649545745,0
35,2,298.8,-0.610324941153653,0.112803647735523,-0.530338564361922,-0.203458858288205,0
36,2,298.8,-0.54292742567666,-0.484014488613105,0.863993104728476,-0.156329171401894,0
37,2,298.9,-0.54292742567666,0.235513918760475,-0.329715302622297,-0.109199484515583,0
38,1,298.8,-0.610324941153653,-0.556525103309667,-0.0789362254477643,-0.0620697976292715,0
39,3,298.9,-0.54292742567666,-0.891189478832263,1.07464752955508,-0.0306500063717308,0
40,1,298.8,-0.610324941153653,-1.05294392700152,1.25520846512075,0.0478994717721209,0
41,1,298.8,-0.610324941153653,-0.986011051896998,0.542995885945075,0.0793192630296616,0
42,1,298.8,-0.610324941153653,-0.952544614344738,1.08467869264206,0.110739054287202,0
43,2,298.8,-0.610324941153653,-0.952544614344738,0.914148920163383,0.142158845544743,0
44,3,298.8,-0.54292742567666,-0.930233655976565,0.853961941641495,0.189288532431054,0
45,2,298.8,-0.610324941153653,-0.37245969677224,0.753650310771682,0.267838010574906,0
46,1,298.8,-0.610324941153653,-0.277638123707505,0.914148920163383,0.314967697461217,0
47,2,298.7,-0.677722456630684,1.69688169187581,-1.42311207910326,0.346387488718757,0
48,1,298.8,-0.610324941153653,-0.673657634742576,0.633276353727906,0.393517175605068,0
49,3,298.8,-0.54292742567666,-0.634613457598273,1.39564474833848,0.424936966862609,0
50,2,298.9,-0.54292742567666,-0.707124072294835,0.412590765814319,0.503486445006461,0
51,1,298.9,-0.610324941153653,7.37502059657584,-3.54971865354329,0.550616131892772,1
52,1,298.9,-0.610324941153653,-0.86887852046409,1.4959563792083,0.582035923150313,0
53,3,298.8,-0.677722456630684,-0.233016206971159,0.382497276553374,0.613455714407853,0
54,1,298.7,-0.677722456630684,0.146270085287783,-0.490213912013997,0.692005192551705,0
55,1,298.7,-0.677722456630684,0.849065273885233,-0.991772066363061,0.723424983809246,0
56,1,298.8,-0.610324941153653,-0.14935011309051,0.071531220856955,0.754844775066786,0
57,1,298.8,-0.610324941153653,-0.344570998812024,0.242060993335636,0.786264566324327,0
58,1,298.8,-0.610324941153653,-0.143772373498466,0.0314065685090293,0.817684357581868,0
59,2,298.8,-0.677722456630684,0.681733086123936,-1.05195904488495,0.849104148839408,0
60,1,298.8,-0.610324941153653,-0.896767218424306,1.44580056377339,0.896233835725719,0
61,1,298.8,-0.610324941153653,-0.813101124543657,1.26523962820773,0.92765362698326,0
62,2,298.8,-0.677722456630684,0.296869054272951,-0.179247856317577,0.959073418240801,0
63,1,298.8,-0.677722456630684,1.6187933375872,-1.71401580862571,1.00620310512711,0
64,2,298.9,-0.677722456630684,1.52397176452247,-1.41308091601628,1.03762289638465,0
65,1,299,-0.610324941153653,-0.0879949775780339,-0.139123203969652,1.08475258327096,0
66,1,299,-0.610324941153653,-0.807523384951614,0.512902396684131,1.1161723745285,0
67,2,298.9,-0.745119972107716,0.782132398780714,-1.1322083495808,1.14759216578604,0
68,3,298.8,-0.745119972107716,-0.405926134324499,0.412590765814319,1.19472185267236,0
69,1,298.8,-0.745119972107716,-0.0656840192098608,-0.761055315362492,1.27327133081621,0
70,1,298.9,-0.677722456630684,-0.718279551478922,2.57932199260228,1.30469112207375,1
71,2,298.9,-0.677722456630684,2.14867859883131,-1.74410929788666,1.33611091333129,0
72,1,298.9,-0.610324941153653,-0.484014488613105,0.553027049032056,1.3832406002176,0
73,1,298.9,-0.610324941153653,-0.946966874752695,0.442684255075262,1.41466039147514,0
74,1,299,-0.610324941153653,0.296869054272951,-0.500245075100979,1.44608018273268,0
75,1,298.9,-0.677722456630684,0.34706871060134,-0.771086478449474,1.47749997399022,0
76,1,298.8,-0.745119972107716,-0.891189478832263,0.673401006075832,1.50891976524776,0
77,1,298.8,-0.745119972107716,-0.433814832284716,0.793774963119607,1.5403395565053,0
78,1,298.8,-0.745119972107716,-0.467281269836975,0.131718199378842,1.57175934776284,1
79,1,298.8,-0.745119972107716,-0.785212426583441,1.15489683425093,-1.69589894302139,0
80,1,298.8,-0.745119972107716,-0.762901468215268,-0.209341345578521,-1.66447915176385,0
81,3,298.8,-0.812517487584709,-0.523058665757408,0.994398224859233,-1.63305936050631,0
82,1,298.9,-0.745119972107716,-0.495169967797192,0.753650310771682,-1.55450988236245,0
83,1,298.9,-0.745119972107716,-0.478436749021062,0.0815623839439357,-1.52309009110491,0
84,1,299,-0.677722456630684,-0.38919291554837,0.0113442423350671,-1.49167029984737,0
85,1,298.9,-0.745119972107716,-0.651346676374403,0.763681473858664,-1.46025050858983,0
86,2,299,-0.677722456630684,1.47934984778612,-1.32280044823344,-1.42883071733229,0
87,3,299,-0.677722456630684,-0.573258322085797,0.392528439640356,-1.38170103044598,0
88,1,299,-0.677722456630684,0.0291375538548745,-0.82124229388438,-1.30315155230213,0
89,2,299,-0.677722456630684,-0.668079895150533,0.522933559771113,-1.27173176104459,0
90,2,298.9,-0.745119972107716,-0.288793602891591,-0.0488427361868208,-1.22460207415828,0
91,1,298.9,-0.745119972107716,1.19488512859191,-1.42311207910326,-1.17747238727197,0
92,1,298.9,-0.745119972107716,1.62437107717925,-1.51339254688609,-1.14605259601443,0
93,2,298.9,-0.745119972107716,1.04986389919879,-1.2927069589725,-1.11463280475688,0
94,1,299.1,-0.677722456630684,-0.495169967797192,0.302247971857524,-1.06750311787057,0
95,1,299,-0.745119972107716,0.464201242034249,-0.811211130797399,-1.03608332661303,0
96,2,299,-0.677722456630684,-1.04736618740947,1.2251149758598,-1.00466353535549,0
97,2,299,-0.677722456630684,0.202047481208215,-0.470151585840035,-0.957533848469181,0
98,2,298.9,-0.745119972107716,1.17815190981579,-1.01183439253702,-0.91040416158287,0
99,1,298.9,-0.812517487584709,-0.0545285400257743,-0.730961826101548,-0.863274474696559,0
100,1,298.8,-0.812517487584709,-0.0879949775780339,0.442684255075262,-0.831854683439018,0
101,1,298.8,-0.745119972107716,1.7470813482042,-1.50336138379911,-0.800434892181478,0
102,1,298.8,-0.812517487584709,2.52238715149821,-1.9347013965393,-0.769015100923937,0
103,1,298.8,-0.812517487584709,0.0904926893673503,0.0615000577699735,-0.737595309666396,0
104,2,298.8,-0.812517487584709,-0.545369624125581,0.0514688946829921,-0.706175518408856,0
105,1,298.8,-0.87991500306174,-0.495169967797192,0.342372624205449,-0.659045831522545,0
106,1,298.8,-0.87991500306174,0.291291314680908,-0.891460435493249,-0.627626040265004,0
107,1,298.8,-0.87991500306174,-0.523058665757408,0.853961941641495,-0.596206249007463,0
108,2,298.8,-0.812517487584709,-0.233016206971159,0.683432169162813,-0.564786457749923,0
109,3,298.9,-0.812517487584709,0.458623502442205,-0.730961826101548,-0.517656770863612,0
110,1,298.9,-0.87991500306174,0.185314262432086,-0.59052554288381,-0.43910729271976,0
111,1,298.8,-0.947312518538733,1.85863614004506,-1.75414046097364,-0.407687501462219,0
112,3,298.7,-0.947312518538733,-0.221860727787072,0.352403787292431,-0.376267710204678,0
113,2,298.8,-0.87991500306174,-0.227438467379115,-0.0488427361868208,-0.297718232060827,0
114,2,298.8,-0.947312518538733,-0.294371342483634,0.19190517790073,-0.250588545174516,0
115,1,298.8,-0.947312518538733,0.787710138372757,-1.06199020797193,-0.203458858288205,0
116,1,298.8,-0.947312518538733,-0.601147020046013,0.573089375206019,-0.172039067030664,0
117,1,298.9,-0.87991500306174,0.14069234569574,-0.59052554288381,-0.140619275773123,0
118,1,298.8,-0.947312518538733,0.335913231417254,-0.700868336840604,-0.109199484515583,0
119,2,298.8,-0.947312518538733,0.938309107357925,-1.19239532810269,-0.0777796932580419,0
120,1,298.7,-1.01471003401576,-0.400348394732456,0.071531220856955,-0.0306500063717308,0
121,1,298.9,-0.87991500306174,-0.589991540861927,0.472777744336206,0.00076978488580985,0
122,1,298.9,-0.87991500306174,0.10722590814348,0.121687036291861,0.0321895761433505,0
123,1,299,-0.812517487584709,-1.27605351068325,1.07464752955508,0.0636093674008912,0
124,1,298.9,-0.87991500306174,0.040293033038961,0.342372624205449,0.0950291586584319,0
125,1,298.9,-0.87991500306174,1.04986389919879,-1.06199020797193,0.126448949915973,0
126,1,298.9,-0.947312518538733,0.118381387327567,-0.781117641536454,0.157868741173513,0
127,1,299,-0.947312518538733,-1.17007645843443,2.05770151207925,0.189288532431054,0
128,1,298.9,-0.947312518538733,-0.701546332702792,0.653338679901869,0.220708323688595,0
129,1,299,-0.947312518538733,0.268980356312735,-0.139123203969652,0.252128114946135,0
130,1,298.9,-1.01471003401576,0.112803647735523,-0.570463216709848,0.283547906203676,0
131,1,298.8,-1.0821075494928,-0.366881957180197,0.11165587320488,0.314967697461217,0
